codigo_municipio,nome_municipio,enviadas_dose1,enviadas_dose2,enviadas_dose_unica,enviadas_dose_reforco,aplicadas_dose1,aplicadas_dose2,aplicadas_dose_unica,aplicadas_dose_reforco,aplicadas_dose_reforco2
2800100,Amparo de São Francisco,2255,2257,30,898,2037,1960,30,747,16
2800209,Aquidabã,19796,19145,210,7560,17809,16237,212,8891,552
2800308,Aracaju,617927,609877,12715,344553,566020,514660,12911,309862,21373
2800407,Arauá,9040,9226,100,5477,9580,8523,102,4415,394
2800506,Areia Branca,16496,16771,185,8359,16472,15406,198,7837,320
2800605,Barra dos Coqueiros,26771,28355,845,17091,27528,23958,967,12878,675
2800670,Boquim,24448,23827,255,13396,21874,20378,252,11796,853
2800704,Brejo Grande,7405,7556,75,2617,7272,6563,75,2640,45
2801009,Campo do Brito,16627,17856,175,7914,15787,13902,175,7871,650
2801108,Canhoba,3666,3843,40,1920,3496,3044,40,1509,36
2801207,Canindé de São Francisco,26334,25279,275,12950,25238,22284,275,9916,397
2801306,Capela,31913,30607,315,14297,32134,28378,357,13019,869
2801405,Carira,19091,20099,195,11592,18459,16282,194,8778,531
2801504,Carmópolis,14082,14290,155,5773,12770,11636,155,4828,197
2801603,Cedro de São João,5215,5299,60,2937,4846,4495,60,2379,261
2801702,Cristinápolis,15769,16699,165,7397,15384,13799,165,5277,82
2801900,Cumbe,3807,3760,45,1882,3563,3327,45,1613,183
2802007,Divina Pastora,4518,4653,50,2203,4112,4027,50,2465,127
2802106,Estância,61018,61421,2500,29613,56733,53293,2510,27253,1451
2802205,Feira Nova,5285,5632,55,3010,5134,4571,57,2049,13
2802304,Frei Paulo,13567,13845,150,6358,13590,12664,150,5751,267
2802403,Gararu,10190,10757,120,5345,9949,9163,115,5280,327
2802502,General Maynard,3002,2925,35,1835,2644,2501,116,1692,138
2802601,Gracho Cardoso,5317,5461,65,3324,5680,5071,71,2797,270
2802700,Ilha das Flores,7602,7647,80,3558,7212,6343,80,3162,204
2802809,Indiaroba,15515,16284,145,6099,14919,14147,147,5960,346
2802908,Itabaiana,84026,81561,2400,53385,87148,77283,2519,44817,2552
2803005,Itabaianinha,36845,37937,370,12412,33649,29227,370,10934,370
2803104,Itabi,4604,4695,55,2295,4495,4121,56,2161,263
2803203,Itaporanga d'Ajuda,30646,33237,330,13297,30548,28516,330,14636,263
2803302,Japaratuba,15882,16482,175,7867,14932,13993,175,8826,603
2803401,Japoatã,11743,12163,135,7049,12383,10293,154,5806,250
2803500,Lagarto,92654,95726,2500,43911,89543,80208,2510,40164,1859
2803609,Laranjeiras,26613,28176,490,12476,25888,22638,502,12860,313
2803708,Macambira,6512,6203,70,3638,6407,5837,70,3376,344
2803807,Malhada dos Bois,3392,3503,40,1524,3071,3069,43,1001,12
2803906,Malhador,11212,11132,120,5357,10822,9581,119,4863,96
2804003,Maruim,15252,14977,165,6831,13601,11998,165,6720,531
2804102,Moita Bonita,10146,10756,125,7436,10349,9622,138,5998,605
2804201,Monte Alegre de Sergipe,13481,13661,135,5705,12726,11365,135,5502,331
2804300,Muribeca,6889,7279,75,2957,6952,6549,75,3383,96
2804409,Neópolis,16129,16198,175,8245,14724,12817,175,6804,285
2804458,Nossa Senhora Aparecida,8043,8302,95,4440,7990,7295,111,3576,157
2804508,Nossa Senhora da Glória,33142,33260,1000,16825,33019,29861,968,15372,982
2804607,Nossa Senhora das Dores,23777,24689,245,11223,24579,20953,245,9699,483
2804706,Nossa Senhora de Lourdes,5747,6030,60,3362,5917,5338,53,2743,258
2804805,Nossa Senhora do Socorro,148039,151306,4100,66011,154324,136182,4175,68486,1943
2804904,Pacatuba,12599,12899,130,7121,12014,11566,136,6369,429
2805000,Pedra Mole,2848,2820,40,1690,2655,2575,42,1469,125
2805109,Pedrinhas,8819,8802,90,3592,7123,6248,91,3083,166
2805208,Pinhão,6384,6167,65,3283,5569,5237,73,2914,306
2805307,Pirambu,8274,8629,80,4400,7980,7468,80,3616,254
2805406,Poço Redondo,29406,32187,280,10562,27731,23921,280,11315,537
2805505,Poço Verde,22008,22889,210,9786,20165,19079,206,9928,433
2805604,Porto da Folha,24957,24829,265,13942,23914,22703,268,12925,820
2805703,Propriá,25990,29171,255,13027,25121,22977,258,11243,638
2805802,Riachão do Dantas,17490,18300,185,7369,16250,14562,183,7448,110
2805901,Riachuelo,8535,9420,100,4258,8116,7519,100,3486,148
2806008,Ribeirópolis,16494,16142,200,9993,15805,14538,197,7998,636
2806107,Rosário do Catete,9660,10054,105,4607,9034,8031,111,4710,224
2806206,Salgado,17683,17414,200,9000,17042,14963,200,7790,403
2806305,Santa Luzia do Itanhy,12205,12579,120,6102,11893,10949,114,5200,218
2806404,Santana do São Francisco,6147,6078,85,3102,6231,5838,85,2899,39
2806503,Santa Rosa de Lima,4350,4400,35,2264,3621,3416,35,1733,116
2806602,Santo Amaro das Brotas,10382,10477,125,6335,10092,9493,125,5519,407
2806701,São Cristóvão,80478,81502,2385,41129,76806,66158,2384,34588,710
2806800,São Domingos,10005,10021,110,5071,9034,8255,107,4626,472
2806909,São Francisco,3502,3578,40,1605,3008,2821,40,1862,142
2807006,São Miguel do Aleixo,3663,3752,40,2364,3593,3078,54,1688,92
2807105,Simão Dias,36075,34863,1050,19221,35627,31101,1078,15991,820
2807204,Siriri,7758,7270,75,4115,7092,6744,75,3841,260
2807303,Telha,2915,2883,45,1569,2790,2519,46,1325,142
2807402,Tobias Barreto,44884,40110,1160,22345,43294,38034,1187,18712,716
2807501,Tomar do Geru,11845,11021,135,6288,9758,8220,139,3385,77
2807600,Umbaúba,22384,21550,240,7369,20327,19177,237,6700,173
