codigo_municipio,nome_municipio,enviadas_dose1,enviadas_dose2,enviadas_dose_unica,enviadas_dose_reforco,aplicadas_dose1,aplicadas_dose2,aplicadas_dose_unica,aplicadas_dose_reforco
2800100,Amparo de São Francisco,2191,1897,30,362,1971,1769,30,306
2800209,Aquidabã,19259,16525,210,2948,16929,14512,212,5106
2800308,Aracaju,603350,544967,12715,177355,530833,475573,12589,201702
2800407,Arauá,8786,7996,100,3378,9089,7496,102,2553
2800506,Areia Branca,16006,14671,185,3792,15798,14037,198,3890
2800605,Barra dos Coqueiros,25901,24665,845,9141,25701,21193,967,6908
2800670,Boquim,23788,21017,255,6470,20876,18004,252,6331
2800704,Brejo Grande,7138,6296,75,1475,6831,5229,75,1448
2801009,Campo do Brito,16027,15238,175,3950,14884,12390,175,4559
2801108,Canhoba,3520,3159,40,1195,3268,2529,40,711
2801207,Canindé de São Francisco,25424,22093,275,6730,23589,19414,275,5204
2801306,Capela,30489,26627,315,6415,30966,25516,357,7222
2801405,Carira,18533,17359,195,6135,17498,14219,194,5292
2801504,Carmópolis,13598,12153,155,2354,12024,10171,155,2586
2801603,Cedro de São João,5068,4879,60,1423,4666,4046,60,1711
2801702,Cristinápolis,15249,14055,165,3659,14366,11947,165,2877
2801900,Cumbe,3675,3280,45,1014,3433,3032,45,1060
2802007,Divina Pastora,4370,3893,50,1120,3839,3360,50,1540
2802106,Estância,59278,54091,2500,15087,54281,46219,2510,16564
2802205,Feira Nova,4995,4500,55,1984,4875,3892,57,1229
2802304,Frei Paulo,13191,12175,150,2866,13064,10835,150,3708
2802403,Gararu,9900,9177,120,2856,9296,8062,115,2725
2802502,General Maynard,2922,2485,35,770,2645,2325,35,1159
2802601,Gracho Cardoso,5177,4621,65,2105,5369,4513,71,846
2802700,Ilha das Flores,7349,6267,80,1144,6696,5351,80,1622
2802809,Indiaroba,14951,13474,145,2362,13705,11691,147,3009
2802908,Itabaiana,81578,75995,2400,27019,83493,69898,2519,27134
2803005,Itabaianinha,35678,33229,370,4610,32544,27603,370,7544
2803104,Itabi,4500,4155,55,1380,4326,3645,56,1355
2803203,Itaporanga d'Ajuda,29716,28357,330,7039,29141,25544,330,6977
2803302,Japaratuba,15430,14426,175,3913,14187,12426,175,5603
2803401,Japoatã,11365,10715,135,2768,11482,8058,154,2164
2803500,Lagarto,90198,85646,2500,21746,86411,74319,2510,24443
2803609,Laranjeiras,25784,24676,490,6346,25012,20456,502,8712
2803708,Macambira,6345,5387,70,1892,6149,5226,70,2292
2803807,Malhada dos Bois,3287,2963,40,748,2769,2241,43,439
2803906,Malhador,10900,9742,120,3126,10430,8487,119,3043
2804003,Maruim,24220,12483,165,3360,12982,10578,165,4027
2804102,Moita Bonita,9898,9012,125,3575,9670,8646,138,3641
2804201,Monte Alegre de Sergipe,13046,11771,135,2856,11708,9651,135,2774
2804300,Muribeca,6706,6217,75,1443,6636,5755,75,1445
2804409,Neópolis,15652,14148,175,4291,13638,11253,175,3845
2804458,Nossa Senhora Aparecida,7853,7342,95,2818,7344,6655,111,2243
2804508,Nossa Senhora da Glória,31732,29042,1000,8884,30289,26902,968,7450
2804607,Nossa Senhora das Dores,32945,21605,245,6716,23367,19481,245,6277
2804706,Nossa Senhora de Lourdes,5581,5250,60,2189,5623,4863,53,1709
2804805,Nossa Senhora do Socorro,142789,141366,4100,31503,143462,121710,4175,34003
2804904,Pacatuba,12037,10699,130,4167,11258,9876,136,3732
2805000,Pedra Mole,2768,2410,40,977,2561,2254,42,1058
2805109,Pedrinhas,8569,7692,90,1693,6898,5726,91,1749
2805208,Pinhão,6224,5367,65,1642,5373,4765,73,1993
2805307,Pirambu,7904,7419,80,2459,7697,6482,80,2321
2805406,Poço Redondo,28363,26261,280,5538,25431,20184,280,6023
2805505,Poço Verde,21458,20275,210,5003,18807,16835,206,5414
2805604,Porto da Folha,24354,21459,265,7903,22619,20206,268,6999
2805703,Propriá,25250,23909,255,6804,23875,20180,258,6463
2805802,Riachão do Dantas,16996,16180,185,3349,15311,13011,183,3358
2805901,Riachuelo,8135,7728,100,2718,7600,6018,100,1950
2806008,Ribeirópolis,16080,14288,200,5768,15335,12963,197,5146
2806107,Rosário do Catete,9350,8524,105,2325,8471,7247,111,2261
2806206,Salgado,17203,15334,200,5069,16059,13562,200,4265
2806305,Santa Luzia do Itanhy,11770,10587,120,3690,11139,9453,114,3113
2806404,Santana do São Francisco,6083,5418,85,1258,5911,4846,85,1504
2806503,Santa Rosa de Lima,4084,3380,35,1262,3494,2981,35,1248
2806602,Santo Amaro das Brotas,10034,8947,125,3791,9818,8670,125,3360
2806701,São Cristóvão,76294,72128,2385,19697,69597,57438,2384,13829
2806800,São Domingos,9609,8561,110,2113,8667,7437,107,2902
2806909,São Francisco,3416,2958,40,1074,2713,2395,40,875
2807006,São Miguel do Aleixo,3578,3200,40,1284,3331,2692,54,738
2807105,Simão Dias,35152,30983,1050,9795,33822,28062,1078,8689
2807204,Siriri,7490,6060,75,2221,6800,5955,75,2272
2807303,Telha,2833,2393,45,979,2670,2142,46,843
2807402,Tobias Barreto,43656,34960,1160,9470,41111,35336,1187,11860
2807501,Tomar do Geru,11393,9725,135,4141,9205,7661,139,1961
2807600,Umbaúba,21447,18043,240,2545,19084,15821,237,3044
