codigo_municipio,nome_municipio,enviadas_dose1,enviadas_dose2,enviadas_dose_unica,enviadas_dose_reforco,aplicadas_dose1,aplicadas_dose2,aplicadas_dose_unica,aplicadas_dose_reforco
2800100,Amparo de São Francisco,1739,1549,30,100,1690,1332,30,85
2800209,Aquidabã,16105,13993,210,774,15159,8841,212,393
2800308,Aracaju,507892,458402,12715,31745,500113,341542,12589,18177
2800407,Arauá,7180,6243,100,414,7474,4949,102,178
2800506,Areia Branca,13118,11348,185,618,13416,8640,198,293
2800605,Barra dos Coqueiros,21263,18573,845,1110,22600,12160,967,440
2800670,Boquim,19964,16811,255,1207,18230,10956,252,651
2800704,Brejo Grande,5602,5012,75,224,5506,3371,75,93
2801009,Campo do Brito,13405,11266,175,1139,13227,7862,175,695
2801108,Canhoba,2920,2635,40,169,2685,1736,40,44
2801207,Canindé de São Francisco,20094,16359,275,835,19450,10057,275,365
2801306,Capela,25019,21899,315,1118,22207,11908,357,435
2801405,Carira,15561,12939,195,1011,15666,9561,194,687
2801504,Carmópolis,11006,8941,155,385,10198,4831,155,239
2801603,Cedro de São João,4252,3697,60,278,4101,2732,60,233
2801702,Cristinápolis,12489,10723,165,756,11613,5360,165,136
2801900,Cumbe,3053,2674,45,185,3031,2273,45,152
2802007,Divina Pastora,3512,3018,50,216,3300,2234,50,123
2802106,Estância,49591,41765,2500,2501,46682,26427,2510,690
2802205,Feira Nova,4066,3545,55,241,3763,2609,57,58
2802304,Frei Paulo,10796,9373,150,640,11131,7918,150,577
2802403,Gararu,8316,7331,120,484,8295,5148,115,223
2802502,General Maynard,2334,2065,35,145,2309,1688,35,163
2802601,Gracho Cardoso,4311,3747,65,360,4646,2418,71,138
2802700,Ilha das Flores,5839,5103,80,284,5457,3505,80,140
2802809,Indiaroba,11674,9619,145,481,11737,6268,147,261
2802908,Itabaiana,67472,57019,2400,4415,68681,45698,2519,2526
2803005,Itabaianinha,29542,24379,370,1417,29112,16519,370,455
2803104,Itabi,3806,3329,55,269,3696,2430,56,86
2803203,Itaporanga d'Ajuda,24314,22017,330,1081,24217,12970,330,701
2803302,Japaratuba,12982,10720,175,732,12692,7387,175,291
2803401,Japoatã,9277,7928,135,363,9389,5518,154,196
2803500,Lagarto,77280,66928,2500,5116,78604,53415,2510,2320
2803609,Laranjeiras,20870,19266,490,908,22504,15522,502,396
2803708,Macambira,5174,4377,70,456,5245,3890,70,334
2803807,Malhada dos Bois,2605,2467,40,173,2505,1217,43,0
2803906,Malhador,9212,7736,120,482,8744,4969,119,284
2804003,Maruim,11851,9925,165,639,11239,6544,165,360
2804102,Moita Bonita,8546,7482,125,646,8816,6345,138,443
2804201,Monte Alegre de Sergipe,10492,8783,135,491,10254,5389,135,240
2804300,Muribeca,5562,4993,75,244,5919,3664,75,173
2804409,Neópolis,13134,11372,175,678,12087,6311,175,333
2804458,Nossa Senhora Aparecida,6659,5911,95,451,6672,4584,111,208
2804508,Nossa Senhora da Glória,26198,21759,1000,1742,25596,17756,968,807
2804607,Nossa Senhora das Dores,19506,16381,245,1375,20419,11278,245,643
2804706,Nossa Senhora de Lourdes,4659,4120,60,259,4884,3067,53,126
2804805,Nossa Senhora do Socorro,128245,109316,4100,4444,129631,64104,4175,3952
2804904,Pacatuba,9793,7965,130,380,9835,6552,136,329
2805000,Pedra Mole,2252,1977,40,173,2178,1776,42,116
2805109,Pedrinhas,7067,6264,90,291,6182,3942,91,60
2805208,Pinhão,4951,4349,65,277,4690,3169,73,152
2805307,Pirambu,6380,5478,80,521,6377,3922,80,193
2805406,Poço Redondo,22365,18230,280,1058,22061,11438,280,726
2805505,Poço Verde,18224,15577,210,871,17078,10422,206,353
2805604,Porto da Folha,19679,16512,265,1134,19058,12222,268,733
2805703,Propriá,21264,18947,255,1165,21518,14552,258,859
2805802,Riachão do Dantas,14380,11784,185,822,13706,8741,183,251
2805901,Riachuelo,6849,6103,100,365,6586,4175,100,178
2806008,Ribeirópolis,13830,11930,200,968,13509,8600,197,835
2806107,Rosário do Catete,7716,6898,105,441,7432,5282,111,257
2806206,Salgado,14379,12082,200,903,14700,8667,200,308
2806305,Santa Luzia do Itanhy,9510,8937,120,358,9662,6412,114,133
2806404,Santana do São Francisco,5181,3162,85,205,4938,3060,85,141
2806503,Santa Rosa de Lima,2854,3705,35,179,2925,2023,35,148
2806602,Santo Amaro das Brotas,8434,7454,125,512,8359,5196,125,252
2806701,São Cristóvão,63900,55682,2385,2018,59764,22535,2384,0
2806800,São Domingos,8189,7028,110,449,7137,4680,107,151
2806909,São Francisco,2784,2400,40,128,2478,1562,40,101
2807006,São Miguel do Aleixo,2972,2660,40,270,2952,1936,54,135
2807105,Simão Dias,30228,27395,1050,1719,29271,17606,1078,612
2807204,Siriri,5908,5172,75,354,5621,3952,75,361
2807303,Telha,2331,2027,45,161,2256,1496,46,71
2807402,Tobias Barreto,37078,30122,1160,2036,37385,23866,1187,943
2807501,Tomar do Geru,9965,8279,135,402,8324,4946,139,58
2807600,Umbaúba,18013,15151,240,802,17119,9236,237,328
