codigo_municipio,nome_municipio,enviadas_dose1,enviadas_dose2,enviadas_dose_unica,enviadas_dose_reforco,aplicadas_dose1,aplicadas_dose2,aplicadas_dose_unica,aplicadas_dose_reforco
2800100,Amparo de São Francisco,452,172,0,0,297,92,0,0
2800209,Aquidabã,2794,1514,0,0,2475,657,0,0
2800308,Aracaju,90860,53620,0,0,96813,24618,0,0
2800407,Arauá,981,641,0,0,1029,302,0,0
2800506,Areia Branca,1701,1041,0,0,1488,611,0,0
2800605,Barra dos Coqueiros,2915,1685,0,0,2643,539,0,0
2800670,Boquim,3356,2165,0,0,3017,841,0,0
2800704,Brejo Grande,1648,338,0,0,980,174,0,0
2801009,Campo do Brito,2125,1544,0,0,2014,924,0,0
2801108,Canhoba,438,268,0,0,377,120,0,0
2801207,Canindé de São Francisco,2425,1365,0,0,1969,708,0,0
2801306,Capela,4093,1923,0,0,3563,639,0,0
2801405,Carira,2522,1762,0,0,2069,876,0,0
2801504,Carmópolis,1041,661,0,0,1006,367,0,0
2801603,Cedro de São João,807,497,0,0,794,251,0,0
2801702,Cristinápolis,1637,1117,0,0,1484,536,0,0
2801900,Cumbe,774,344,0,0,669,189,0,0
2802007,Divina Pastora,483,323,0,0,492,223,0,0
2802106,Estância,7868,4281,0,0,7679,1657,0,0
2802205,Feira Nova,603,403,0,0,535,197,0,0
2802304,Frei Paulo,1825,1195,0,0,1808,921,0,0
2802403,Gararu,1183,823,0,0,1115,433,0,0
2802502,General Maynard,363,233,0,0,345,143,0,0
2802601,Gracho Cardoso,793,553,0,0,718,325,0,0
2802700,Ilha das Flores,1162,471,0,0,959,207,0,0
2802809,Indiaroba,1502,812,0,0,1345,383,0,0
2802908,Itabaiana,10407,7442,0,0,9982,3696,0,0
2803005,Itabaianinha,3651,2331,0,0,3558,910,0,0
2803104,Itabi,703,493,0,0,571,303,0,0
2803203,Itaporanga d'Ajuda,3026,1936,0,0,2765,874,0,0
2803302,Japaratuba,2480,1359,0,0,1902,690,0,0
2803401,Japoatã,2005,814,0,0,1751,318,0,0
2803500,Lagarto,14670,8696,0,0,13047,3214,0,0
2803609,Laranjeiras,5295,1445,0,0,3469,643,0,0
2803708,Macambira,905,634,0,0,947,340,0,0
2803807,Malhada dos Bois,377,257,0,0,291,141,0,0
2803906,Malhador,1231,831,0,0,989,446,0,0
2804003,Maruim,1371,981,0,0,1408,596,0,0
2804102,Moita Bonita,1585,1145,0,0,1399,554,0,0
2804201,Monte Alegre de Sergipe,1234,854,0,0,1339,576,0,0
2804300,Muribeca,751,451,0,0,790,226,0,0
2804409,Neópolis,2116,1315,0,0,1795,367,0,0
2804458,Nossa Senhora Aparecida,1270,810,0,0,1201,422,0,0
2804508,Nossa Senhora da Glória,3591,2468,0,0,3518,1444,0,0
2804607,Nossa Senhora das Dores,2899,2088,0,0,2388,1059,0,0
2804706,Nossa Senhora de Lourdes,768,478,0,0,691,290,0,0
2804805,Nossa Senhora do Socorro,12946,8784,0,0,12991,3792,0,0
2804904,Pacatuba,1259,739,0,0,1195,455,0,0
2805000,Pedra Mole,369,249,0,0,365,160,0,0
2805109,Pedrinhas,893,533,0,0,822,217,0,0
2805208,Pinhão,841,581,0,0,781,344,0,0
2805307,Pirambu,1146,685,0,0,1094,329,0,0
2805406,Poço Redondo,3376,2206,0,0,3051,994,0,0
2805505,Poço Verde,3291,1851,0,0,3162,787,0,0
2805604,Porto da Folha,3347,2227,0,0,3263,1383,0,0
2805703,Propriá,3159,2020,0,0,3105,935,0,0
2805802,Riachão do Dantas,2533,1413,0,0,2266,674,0,0
2805901,Riachuelo,1155,634,0,0,1045,329,0,0
2806008,Ribeirópolis,2383,1763,0,0,2226,1058,0,0
2806107,Rosário do Catete,924,694,0,0,819,422,0,0
2806206,Salgado,2117,1517,0,0,1975,913,0,0
2806305,Santa Luzia do Itanhy,3876,655,0,0,2006,276,0,0
2806503,Santa Rosa de Lima,592,352,0,0,610,258,0,0
2806404,Santana do São Francisco,513,323,0,0,493,154,0,0
2806602,Santo Amaro das Brotas,1173,823,0,0,1378,380,0,0
2806701,São Cristóvão,7462,4395,0,0,6372,1251,0,0
2806800,São Domingos,1276,866,0,0,1294,423,0,0
2806909,São Francisco,409,238,0,0,304,102,0,0
2807006,São Miguel do Aleixo,499,369,0,0,450,219,0,0
2807105,Simão Dias,5050,2980,0,0,4531,1002,0,0
2807204,Siriri,1053,653,0,0,942,437,0,0
2807303,Telha,359,229,0,0,324,149,0,0
2807402,Tobias Barreto,6038,3743,0,0,5631,1440,0,0
2807501,Tomar do Geru,1216,726,0,0,1150,285,0,0
2807600,Umbaúba,2168,1408,0,0,2057,422,0,0
