codigo_municipio,nome_municipio,enviadas_dose1,enviadas_dose2,enviadas_dose_unica,enviadas_dose_reforco,aplicadas_dose1,aplicadas_dose2,aplicadas_dose_unica,aplicadas_dose_reforco
280010,Amparo de São Francisco,1823,1603,30,178,1781,1526,30,144
280020,Aquidabã,16813,15463,210,1548,15444,9881,212,1014
280030,Aracaju,529749,494018,12715,58913,504527,396852,12589,39330
280040,Arauá,7510,6663,100,726,8136,5636,102,419
280050,Areia Branca,13778,12284,185,1116,13777,10504,198,784
280060,Barra dos Coqueiros,22355,20817,845,2010,23428,15829,967,1015
280067,Boquim,20846,18749,255,2347,18649,13648,252,1533
280070,Brejo Grande,5914,5198,75,392,5824,3824,75,140
280100,Campo do Brito,13999,12610,175,1810,13447,9366,175,1045
280110,Canhoba,3058,2719,40,307,2905,1949,40,51
280120,Canindé de São Francisco,21329,18741,275,1453,20480,12504,275,586
280130,Capela,26273,23645,315,2174,22528,14799,357,964
280140,Carira,16317,14739,195,1833,15910,11129,194,1356
280150,Carmópolis,11696,10321,155,655,10310,6172,155,425
280160,Cedro de São João,4456,3907,60,530,4236,3126,60,391
280170,Cristinápolis,13179,12007,165,1200,12248,7524,165,493
280190,Cumbe,3185,2806,45,365,3100,2525,45,248
280200,Divina Pastora,3704,3228,50,353,3428,2594,50,243
280210,Estância,51931,46337,2500,4793,47516,32281,2510,2371
280220,Feira Nova,4308,3811,55,426,3931,2976,57,117
280230,Frei Paulo,11300,9961,150,1192,11645,8736,150,942
280240,Gararu,8706,7817,120,874,8620,6088,115,379
280250,General Maynard,2454,2209,35,241,2354,1956,35,308
280260,Gracho Cardoso,4485,3981,65,588,4743,3058,71,364
280270,Ilha das Flores,6151,5373,80,542,5833,4143,80,412
280280,Indiaroba,12394,10939,145,895,11930,7392,147,467
280290,Itabaiana,70990,63249,2400,7780,71627,54673,2519,4985
280300,Itabaianinha,31096,27727,370,2725,29830,21013,370,1251
280310,Itabi,3943,3509,55,485,3769,2771,56,298
280320,Itaporanga d'Ajuda,25544,23445,330,2095,25434,16861,330,1520
280330,Japaratuba,13606,12136,175,1331,12777,9116,175,752
280340,Japoatã,9811,8390,135,789,9499,6584,154,231
280350,Lagarto,80742,72244,2500,9880,79787,60235,2510,4928
280360,Laranjeiras,22027,19955,490,1610,22832,17029,502,812
280370,Macambira,5390,4629,70,726,5480,4341,70,589
280380,Malhada dos Bois,2737,2587,40,281,2627,1506,43,159
280390,Malhador,9620,8666,120,860,9164,6241,119,544
280400,Maruim,12505,11251,165,1034,11594,7968,165,758
280410,Moita Bonita,8869,8106,125,1174,8955,7022,138,783
280420,Monte Alegre de Sergipe,11062,9959,135,862,10388,6134,135,300
280430,Muribeca,5808,5329,75,472,5979,4689,75,357
280440,Neópolis,13757,12506,175,1326,12339,7517,175,900
280445,Nossa Senhora Aparecida,6917,6241,95,840,6847,5275,111,492
280450,Nossa Senhora da Glória,27518,24717,1000,2851,26797,21978,968,1387
280460,Nossa Senhora das Dores,20418,18313,245,2292,20956,13711,245,1404
280470,Nossa Senhora de Lourdes,4863,4402,60,487,5161,3394,53,257
280480,Nossa Senhora do Socorro,135049,122120,4100,8722,132076,86855,4175,7169
280490,Pacatuba,10315,9051,130,776,10197,7412,136,574
280500,Pedra Mole,2348,2127,40,268,2274,1867,42,213
280510,Pedrinhas,7397,6672,90,573,6244,4402,91,146
280520,Pinhão,5155,4637,65,547,4771,3568,73,315
280530,Pirambu,6734,5778,80,827,6772,4482,80,451
280540,Poço Redondo,23721,20894,280,2192,22324,13621,280,1446
280550,Poço Verde,18961,17161,210,1921,17392,13461,206,1109
280560,Porto da Folha,20675,18564,265,2010,20188,15296,268,1187
280570,Propriá,22272,20063,255,2191,21901,16011,258,1136
280580,Riachão do Dantas,15034,13290,185,1548,14196,10204,183,583
280590,Riachuelo,7244,6445,100,646,6837,4811,100,378
280600,Ribeirópolis,14400,12734,200,1724,13604,9684,197,1274
280610,Rosário do Catete,8135,7174,105,705,7701,5836,111,436
280620,Salgado,15008,13474,200,1593,14920,10361,200,765
280630,Santa Luzia do Itanhy,10044,9213,120,694,9926,6997,114,327
280640,Santana do São Francisco,5463,3300,85,367,5146,3708,85,278
280650,Santa Rosa de Lima,2991,4077,35,335,3024,2302,35,259
280660,Santo Amaro das Brotas,8854,8384,125,853,8476,6217,125,481
280670,São Cristóvão,67134,60134,2385,4370,62745,31297,2384,15
280680,São Domingos,8543,7502,110,857,7586,5843,107,703
280690,São Francisco,2916,2562,40,242,2502,1896,40,179
280700,São Miguel do Aleixo,3097,2822,40,431,2986,2281,54,211
280710,Simão Dias,31518,28751,1050,3333,30508,21385,1078,1675
280720,Siriri,6238,5490,75,648,5964,4546,75,566
280730,Telha,2439,2165,45,257,2371,1681,46,155
280740,Tobias Barreto,38818,33682,1160,4088,37872,28040,1187,2326
280750,Tomar do Geru,10403,9335,135,786,8587,5676,139,291
280760,Umbaúba,18949,16903,240,1444,17397,10541,237,729
