codigo_municipio,nome_municipio,enviadas_dose1,enviadas_dose2,enviadas_dose_unica,enviadas_dose_reforco,aplicadas_dose1,aplicadas_dose2,aplicadas_dose_unica,aplicadas_dose_reforco
2800100,Amparo de São Francisco,502,202,0,0,419,189,0,0
2800209,Aquidabã,3174,1934,0,0,2814,1205,0,0
2800308,Aracaju,102670,53220,0,0,106968,33207,0,0
2800407,Arauá,1172,792,0,0,1152,643,0,0
2800506,Areia Branca,1971,1321,0,0,1644,911,0,0
2800605,Barra dos Coqueiros,3395,2115,0,0,2973,1279,0,0
2800670,Boquim,3816,2656,0,0,3393,1983,0,0
2800704,Brejo Grande,1758,438,0,0,1347,322,0,0
2801009,Campo do Brito,2465,1895,0,0,2265,1462,0,0
2801108,Canhoba,498,338,0,0,403,243,0,0
2801207,Canindé de São Francisco,2765,1675,0,0,2516,1447,0,0
2801306,Capela,4643,2023,0,0,3847,1560,0,0
2801405,Carira,2872,2212,0,0,2385,1388,0,0
2801504,Carmópolis,1291,831,0,0,1202,455,0,0
2801603,Cedro de São João,908,617,0,0,861,500,0,0
2801702,Cristinápolis,1817,1317,0,0,1640,870,0,0
2801900,Cumbe,844,414,0,0,688,386,0,0
2802007,Divina Pastora,588,398,0,0,545,347,0,0
2802106,Estância,9538,4528,0,0,8604,3315,0,0
2802205,Feira Nova,693,513,0,0,624,313,0,0
2802304,Frei Paulo,2075,1455,0,0,2071,1366,0,0
2802403,Gararu,1343,1033,0,0,1242,686,0,0
2802502,General Maynard,433,293,0,0,424,279,0,0
2802601,Gracho Cardoso,913,683,0,0,864,586,0,0
2802700,Ilha das Flores,1282,592,0,0,1067,407,0,0
2802809,Indiaroba,1712,1042,0,0,1449,641,0,0
2802908,Itabaiana,12067,8117,0,0,11241,6224,0,0
2803005,Itabaianinha,4271,2971,0,0,3862,1911,0,0
2803104,Itabi,813,613,0,0,650,461,0,0
2803203,Itaporanga d'Ajuda,3486,2396,0,0,3285,1827,0,0
2803302,Japaratuba,2790,1690,0,0,2085,1023,0,0
2803401,Japoatã,2165,1025,0,0,1918,543,0,0
2803500,Lagarto,16790,10890,0,0,14724,6047,0,0
2803609,Laranjeiras,5695,1795,0,0,4597,1116,0,0
2803708,Macambira,1025,795,0,0,1031,574,0,0
2803807,Malhada dos Bois,427,307,0,0,291,141,0,0
2803906,Malhador,1461,1061,0,0,1211,751,0,0
2804003,Maruim,1661,1211,0,0,1495,774,0,0
2804102,Moita Bonita,1795,1405,0,0,1709,1399,0,0
2804201,Monte Alegre de Sergipe,1448,1084,0,0,1402,883,0,0
2804300,Muribeca,891,581,0,0,839,370,0,0
2804409,Neópolis,2476,1646,0,0,1987,908,0,0
2804458,Nossa Senhora Aparecida,1420,1000,0,0,1355,817,0,0
2804508,Nossa Senhora da Glória,4171,2581,0,0,3616,2117,0,0
2804607,Nossa Senhora das Dores,3379,2559,0,0,2965,1764,0,0
2804706,Nossa Senhora de Lourdes,888,608,0,0,826,493,0,0
2804805,Nossa Senhora do Socorro,15815,11215,0,0,14186,7721,0,0
2804904,Pacatuba,1469,949,0,0,1361,833,0,0
2805000,Pedra Mole,429,319,0,0,357,309,0,0
2805109,Pedrinhas,1053,683,0,0,900,255,0,0
2805208,Pinhão,961,731,0,0,870,608,0,0
2805307,Pirambu,1296,816,0,0,1272,540,0,0
2805406,Poço Redondo,3796,2656,0,0,3442,1524,0,0
2805505,Poço Verde,3711,2411,0,0,3551,1698,0,0
2805604,Porto da Folha,3827,2677,0,0,3876,2334,0,0
2805703,Propriá,3749,2019,0,0,3402,1539,0,0
2805802,Riachão do Dantas,2843,1733,0,0,2557,1407,0,0
2805901,Riachuelo,1315,765,0,0,1228,519,0,0
2806008,Ribeirópolis,2723,2123,0,0,2743,1764,0,0
2806107,Rosário do Catete,1124,824,0,0,989,655,0,0
2806206,Salgado,2427,1867,0,0,2139,1344,0,0
2806305,Santa Luzia do Itanhy,4066,856,0,0,2811,475,0,0
2806503,Santa Rosa de Lima,692,452,0,0,566,281,0,0
2806404,Santana do São Francisco,573,393,0,0,698,300,0,0
2806602,Santo Amaro das Brotas,1363,1023,0,0,1403,479,0,0
2806701,São Cristóvão,8992,5802,0,0,7402,2681,0,0
2806800,São Domingos,1456,1106,0,0,1401,925,0,0
2806909,São Francisco,469,309,0,0,400,184,0,0
2807006,São Miguel do Aleixo,569,439,0,0,524,299,0,0
2807105,Simão Dias,5770,3700,0,0,4557,1685,0,0
2807204,Siriri,1263,803,0,0,1085,685,0,0
2807303,Telha,409,279,0,0,368,221,0,0
2807402,Tobias Barreto,7028,4688,0,0,6440,3302,0,0
2807501,Tomar do Geru,1406,926,0,0,1242,519,0,0
2807600,Umbaúba,2648,1748,0,0,2545,426,0,0
