codigo_municipio,nome_municipio,enviadas_dose1,enviadas_dose2,enviadas_dose_unica,enviadas_dose_reforco,aplicadas_dose1,aplicadas_dose2,aplicadas_dose_unica,aplicadas_dose_reforco
280010,Amparo de São Francisco,1739,1513,30,100,1690,1280,30,74
280020,Aquidabã,16105,12529,210,774,15077,8512,212,275
280030,Aracaju,507891,427898,12715,31745,496944,325274,12589,14816
280040,Arauá,7180,5985,100,414,7474,4949,102,178
280050,Areia Branca,13118,10412,185,618,13388,8312,198,143
280060,Barra dos Coqueiros,21263,16743,845,1110,22594,11794,967,277
280067,Boquim,19964,14939,255,1207,18194,10405,252,326
280070,Brejo Grande,5602,4868,75,224,5454,3101,75,61
280100,Campo do Brito,13405,10510,175,1138,13136,7291,175,490
280110,Canhoba,2920,2533,40,169,2685,1731,40,32
280120,Canindé de São Francisco,20093,14349,275,835,19406,9842,275,357
280130,Capela,25019,20645,315,1118,22090,11121,357,223
280140,Carira,15561,11985,195,1011,15604,8864,194,448
280150,Carmópolis,11006,7903,155,385,10174,4581,155,51
280160,Cedro de São João,4252,3559,60,278,4091,2647,60,199
280170,Cristinápolis,12489,9763,165,756,11468,5030,165,66
280190,Cumbe,3053,2596,45,185,3030,2173,45,111
280200,Divina Pastora,3512,2892,50,215,3290,2219,50,99
280210,Estância,49591,37679,2500,2501,46654,24857,2510,398
280220,Feira Nova,4066,3400,55,240,3763,2452,57,49
280230,Frei Paulo,10796,8791,150,640,11131,7491,150,364
280240,Gararu,8316,6743,120,484,8284,4966,115,119
280250,General Maynard,2334,1981,35,145,2305,1615,35,127
280260,Gracho Cardoso,4311,3609,65,360,4397,2113,71,0
280270,Ilha das Flores,5839,4905,80,284,5422,3389,80,84
280280,Indiaroba,11674,8581,145,481,11614,5486,147,90
280290,Itabaiana,67622,51703,2400,4414,68564,40880,2519,2013
280300,Itabaianinha,29542,22207,370,1417,28989,15901,370,311
280310,Itabi,3805,3215,55,269,3696,2430,56,86
280320,Itaporanga d'Ajuda,24314,20073,330,1081,23755,12069,330,473
280330,Japaratuba,12982,9622,175,731,12669,7273,175,256
280340,Japoatã,9277,7316,135,363,9386,5210,154,148
280350,Lagarto,77280,61462,2500,5116,78049,48632,2510,1681
280360,Laranjeiras,20869,18785,490,908,22434,14703,502,273
280370,Macambira,5174,4245,70,456,5224,3726,70,232
280380,Malhada dos Bois,2605,2347,40,173,2505,1217,43,0
280390,Malhador,9212,7088,120,482,8744,4747,119,284
280400,Maruim,11851,8911,165,638,11200,5835,165,208
280410,Moita Bonita,8545,6882,125,646,8791,6012,138,379
280420,Monte Alegre de Sergipe,10492,8033,135,490,10087,5089,135,95
280430,Muribeca,5562,4453,75,244,5888,3355,75,56
280440,Neópolis,13133,10556,175,678,12029,6061,175,132
280445,Nossa Senhora Aparecida,6659,5461,95,450,6581,4336,111,132
280450,Nossa Senhora da Glória,26198,19665,1000,1741,25377,15247,968,324
280460,Nossa Senhora das Dores,19506,14599,245,1374,19632,10947,245,391
280470,Nossa Senhora de Lourdes,4659,3988,60,259,4838,2827,53,83
280480,Nossa Senhora do Socorro,128245,97670,4100,4444,128916,59571,4175,2226
280490,Pacatuba,9793,7281,130,380,9739,5972,136,221
280500,Pedra Mole,2252,1899,40,172,2160,1604,42,96
280510,Pedrinhas,7067,5676,90,291,6029,3329,91,0
280520,Pinhão,4951,4133,65,277,4685,3002,73,103
280530,Pirambu,6380,5226,80,521,6377,3837,80,193
280540,Poço Redondo,22365,16034,280,1058,21943,10586,280,551
280550,Poço Verde,18223,14431,210,871,16972,10200,206,189
280560,Porto da Folha,19679,14670,265,1134,19052,11814,268,579
280570,Propriá,21264,17225,255,1165,21329,13419,258,558
280580,Riachão do Dantas,14380,10938,185,822,13668,8334,183,230
280590,Riachuelo,6848,5911,100,364,6576,4076,100,136
280600,Ribeirópolis,13830,11186,200,968,13501,8371,197,652
280610,Rosário do Catete,7715,6736,105,441,7408,4669,111,167
280620,Salgado,14378,11266,200,903,14556,8334,200,238
280630,Santa Luzia do Itanhy,9510,8745,120,358,9605,6255,114,91
280640,Santana do São Francisco,5181,3090,85,205,4938,2811,85,104
280650,Santa Rosa de Lima,2853,3207,35,179,2914,1898,35,94
280660,Santo Amaro das Brotas,8434,6896,125,511,8270,4831,125,204
280670,São Cristóvão,63900,52748,2385,2018,59764,22535,2384,0
280680,São Domingos,8189,6440,110,449,7118,4562,107,121
280690,São Francisco,2784,2292,40,128,2469,1476,40,71
280700,São Miguel do Aleixo,2971,2558,40,269,2950,1928,54,103
280710,Simão Dias,30228,25307,1050,1719,29159,16599,1078,336
280720,Siriri,5908,4974,75,354,5610,3838,75,297
280730,Telha,2331,1955,45,161,2252,1439,46,59
280740,Tobias Barreto,37078,27950,1160,2036,37241,22352,1187,523
280750,Tomar do Geru,9965,7589,135,402,8241,4859,139,35
280760,Umbaúba,18013,13981,240,802,17000,8775,237,125
