codigo_municipio,nome_municipio,enviadas_dose1,enviadas_dose2,enviadas_dose_unica,enviadas_dose_reforco,aplicadas_dose1,aplicadas_dose2,aplicadas_dose_unica,aplicadas_dose_reforco
280010,Amparo de São Francisco,1823,1603,30,178,1690,1517,30,89
280020,Aquidabã,16813,15463,210,1548,15376,9575,212,867
280030,Aracaju,529749,494018,12715,58913,503385,387046,12589,31708
280040,Arauá,7510,6663,100,726,8075,5598,102,389
280050,Areia Branca,13778,12284,185,1116,13674,10140,198,746
280060,Barra dos Coqueiros,22355,20817,845,2010,23268,15327,967,911
280067,Boquim,20846,18749,255,2347,18549,12349,252,1183
280070,Brejo Grande,5914,5198,75,392,5709,3732,75,104
280100,Campo do Brito,13999,12610,175,1810,13378,8969,175,896
280110,Canhoba,3058,2719,40,307,2741,1859,40,50
280120,Canindé de São Francisco,21329,18741,275,1453,20311,10670,275,408
280130,Capela,26273,23645,315,2174,22337,13713,357,741
280140,Carira,16317,14739,195,1833,15834,10688,194,1159
280150,Carmópolis,11696,10321,155,655,10263,5571,155,322
280160,Cedro de São João,4456,3907,60,530,4193,2960,60,298
280170,Cristinápolis,13179,12007,165,1200,12122,6237,165,367
280190,Cumbe,3185,2806,45,365,3081,2391,45,202
280200,Divina Pastora,3704,3228,50,353,3400,2414,50,165
280210,Estância,51931,46337,2500,4793,46909,30231,2510,2027
280220,Feira Nova,4308,3811,55,426,3871,2846,57,82
280230,Frei Paulo,11300,9961,150,1192,11645,8456,150,835
280240,Gararu,8706,7817,120,874,8500,5667,115,314
280250,General Maynard,2454,2209,35,241,2352,1924,35,290
280260,Gracho Cardoso,4485,3981,65,588,4743,3058,71,364
280270,Ilha das Flores,6151,5373,80,542,5661,3914,80,335
280280,Indiaroba,12394,10939,145,895,11878,7007,147,392
280290,Itabaiana,70990,63249,2400,7780,71508,53216,2519,4704
280300,Itabaianinha,31096,27727,370,2725,29677,19363,370,1035
280310,Itabi,3943,3509,55,485,3714,2640,56,188
280320,Itaporanga d'Ajuda,25544,23445,330,2095,25109,15660,330,1291
280330,Japaratuba,13606,12136,175,1331,12770,8621,175,709
280340,Japoatã,9811,8390,135,789,9499,6156,154,208
280350,Lagarto,80742,72244,2500,9880,79464,58369,2510,4188
280360,Laranjeiras,22027,19955,490,1610,22699,16549,502,577
280370,Macambira,5390,4629,70,726,5383,4207,70,504
280380,Malhada dos Bois,2737,2587,40,281,2627,1506,43,159
280390,Malhador,9620,8666,120,860,9006,5442,119,434
280400,Maruim,12505,11251,165,1034,11539,7719,165,640
280410,Moita Bonita,8869,8106,125,1174,8946,6974,138,692
280420,Monte Alegre de Sergipe,11062,9959,135,862,10371,5934,135,283
280430,Muribeca,5808,5329,75,472,5959,4305,75,307
280440,Neópolis,13757,12506,175,1326,12270,7206,175,822
280445,Nossa Senhora Aparecida,6917,6241,95,840,6825,5154,111,422
280450,Nossa Senhora da Glória,27518,24717,1000,2851,26328,21781,968,1232
280460,Nossa Senhora das Dores,20418,18313,245,2292,20709,12192,245,1009
280470,Nossa Senhora de Lourdes,4863,4402,60,487,5067,3274,53,198
280480,Nossa Senhora do Socorro,135049,122120,4100,8722,131469,81043,4175,6479
280490,Pacatuba,10315,9051,130,776,10132,7283,136,444
280500,Pedra Mole,2348,2127,40,268,2273,1838,42,206
280510,Pedrinhas,7397,6672,90,573,6244,4402,91,146
280520,Pinhão,5155,4637,65,547,4758,3487,73,298
280530,Pirambu,6734,5778,80,827,6561,4276,80,322
280540,Poço Redondo,23721,20894,280,2192,22285,13231,280,1339
280550,Poço Verde,18961,17161,210,1921,17322,12388,206,907
280560,Porto da Folha,20675,18564,265,2010,19609,13454,268,940
280570,Propriá,22272,20063,255,2191,21830,15602,258,1079
280580,Riachão do Dantas,15034,13290,185,1548,14126,9905,183,441
280590,Riachuelo,7244,6445,100,646,6728,4619,100,364
280600,Ribeirópolis,14400,12734,200,1724,13572,8837,197,1097
280610,Rosário do Catete,8135,7174,105,705,7676,5707,111,412
280620,Salgado,15008,13474,200,1593,14872,9775,200,522
280630,Santa Luzia do Itanhy,10044,9213,120,694,9824,6713,114,262
280640,Santana do São Francisco,5463,3300,85,367,5101,3602,85,197
280650,Santa Rosa de Lima,2991,4077,35,335,3018,2214,35,207
280660,Santo Amaro das Brotas,8854,8384,125,853,8460,6037,125,429
280670,São Cristóvão,67134,60134,2385,4370,62745,31297,2384,15
280680,São Domingos,8543,7502,110,857,7326,5410,107,579
280690,São Francisco,2916,2562,40,242,2496,1736,40,168
280700,São Miguel do Aleixo,3097,2822,40,431,2986,2281,54,209
280710,Simão Dias,31518,28751,1050,3333,30279,20363,1078,1184
280720,Siriri,6238,5490,75,648,5926,4401,75,488
280730,Telha,2439,2165,45,257,2345,1626,46,107
280740,Tobias Barreto,38818,33682,1160,4088,37724,25770,1187,2039
280750,Tomar do Geru,10403,9335,135,786,8498,5369,139,178
280760,Umbaúba,18949,16903,240,1444,17326,10117,237,630
